Date;Sector;Percent change from baseline
2020-07-06;parks;118
2020-07-06;transit stations;-58
2020-07-06;residential;18
2020-07-07;workplaces;-58
2020-07-08;transit stations;-63
2020-07-10;transit stations;-56
2020-07-12;workplaces;-14
2020-07-14;retail and recreation;-44
2020-07-15;retail and recreation;-44
2020-07-17;grocery and pharmacy;-16
2020-07-17;transit stations;-57
2020-07-19;workplaces;-13
2020-07-20;grocery and pharmacy;-18
2020-07-22;residential;17
2020-07-24;workplaces;-55
2020-07-25;workplaces;-19
2020-07-26;transit stations;-47
2020-07-27;retail and recreation;-42
2020-07-27;parks;22
2020-07-28;parks;100
2020-07-29;grocery and pharmacy;-20
2020-07-29;transit stations;-59
2020-08-04;grocery and pharmacy;-20
2020-08-04;transit stations;-60
2020-08-05;grocery and pharmacy;-22
2020-08-06;residential;16
2020-08-07;retail and recreation;-41
2020-08-08;workplaces;-16
2020-08-11;transit stations;-57
2020-08-12;residential;15
2020-08-13;transit stations;-60
2020-08-15;parks;-4
2020-08-16;transit stations;-45
2020-08-17;retail and recreation;-24
2020-08-18;workplaces;-56
2020-08-19;workplaces;-57
2020-08-19;residential;16
2020-08-20;residential;14
2020-08-22;transit stations;-47
2020-08-23;transit stations;-45
2020-08-24;grocery and pharmacy;-22
2020-08-25;grocery and pharmacy;-21
2020-08-26;residential;12
2020-08-28;retail and recreation;-32
2020-08-29;transit stations;-40
2020-08-30;workplaces;-11
2020-09-03;retail and recreation;-34
2020-09-04;grocery and pharmacy;-16
2020-09-06;workplaces;-11
2020-09-08;retail and recreation;-29
2020-09-08;workplaces;-52
2020-09-08;residential;12
2020-09-10;retail and recreation;-31
2020-09-16;grocery and pharmacy;-16
2020-09-16;parks;72
2020-09-16;residential;12
2020-09-17;retail and recreation;-32
2020-09-20;residential;1
2020-09-23;transit stations;-53
2020-09-24;grocery and pharmacy;-14
2020-09-26;retail and recreation;-36
2020-09-26;workplaces;-10
2020-09-27;grocery and pharmacy;-12
2020-09-27;transit stations;-40
2020-09-28;workplaces;-46
2020-09-29;transit stations;-50
2020-10-01;workplaces;-42
2020-10-03;workplaces;-12
2020-10-04;grocery and pharmacy;-20
2020-10-04;parks;-20
2020-10-04;workplaces;-13
2020-10-04;residential;7
2020-10-05;parks;32
2020-10-07;grocery and pharmacy;-14
2020-10-07;workplaces;-42
2020-10-08;grocery and pharmacy;-12
2020-10-11;retail and recreation;-32
2020-10-12;retail and recreation;-36
2020-10-12;grocery and pharmacy;-17
2020-10-12;parks;10
2020-10-12;residential;14
2020-10-13;grocery and pharmacy;-12
2020-10-14;parks;18
2020-10-17;residential;6
2020-10-18;grocery and pharmacy;-15
2020-10-19;retail and recreation;-34
2020-10-22;grocery and pharmacy;-9
2020-10-22;transit stations;-51
2020-10-23;transit stations;-48
2020-10-30;parks;-1
2020-10-30;transit stations;-51
2020-10-30;residential;16
2020-10-31;parks;-3
2020-11-01;grocery and pharmacy;-17
2020-11-05;retail and recreation;-65
2020-11-05;parks;40
2020-11-06;grocery and pharmacy;-17
2020-11-07;parks;33
2020-11-11;retail and recreation;-64
2020-11-13;transit stations;-63
2020-11-15;parks;36
2020-11-15;transit stations;-66
2020-11-16;grocery and pharmacy;-21
2020-11-17;grocery and pharmacy;-15
2020-11-18;retail and recreation;-63
2020-11-23;parks;42
2020-11-23;transit stations;-63
2020-11-24;residential;21
2020-11-25;retail and recreation;-61
2020-11-27;workplaces;-47
2020-12-01;retail and recreation;-54
2020-12-02;transit stations;-57
2020-12-02;workplaces;-43
2020-12-03;retail and recreation;-49
2020-12-05;workplaces;-18
2020-12-06;transit stations;-51
2020-12-08;residential;17
2020-12-11;parks;6
2020-12-11;transit stations;-55
2020-12-14;transit stations;-56
2020-12-15;parks;32
2020-12-15;workplaces;-43
2020-12-16;parks;-25
2020-12-19;retail and recreation;-49
2020-12-19;transit stations;-49
2020-12-20;residential;8
2020-12-22;residential;18
2020-12-23;retail and recreation;-37
2020-12-24;parks;52
2020-12-25;residential;27
2020-12-26;transit stations;-86
2020-12-29;retail and recreation;-48
2020-12-29;workplaces;-69
2021-01-01;grocery and pharmacy;-64
2021-01-01;transit stations;-87
2021-01-01;residential;33
2021-01-02;grocery and pharmacy;-27
2021-01-02;residential;15
2021-01-03;residential;12
2021-01-05;grocery and pharmacy;-21
2021-01-08;parks;-2
2021-01-10;parks;42
2021-01-11;retail and recreation;-68
2021-01-12;grocery and pharmacy;-26
2021-01-14;grocery and pharmacy;-30
2021-01-14;parks;-1
2021-01-16;grocery and pharmacy;-28
2021-01-17;retail and recreation;-72
2021-01-18;residential;24
2021-01-19;retail and recreation;-68
2021-01-19;transit stations;-74
2021-01-20;grocery and pharmacy;-32
2021-01-20;residential;26
2021-01-22;grocery and pharmacy;-23
2021-01-22;parks;32
2021-01-23;parks;53
