count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
74770,2018,1,"South West",144,"Bristol, City of",A38,Major,A4018,"A38 Colston Avenue roundabout",358556,172848,51.45308700,-2.59782930,0.40,0.25,Counted,"Manual count",3642,1209,23322,1187,3492,335,61,79,17,12,27,530,29739
74762,2018,1,"South West",144,"Bristol, City of",A3029,Major,"A369/A370 midpoint","A3029 Winterstoke Road",356657,171486,51.44069900,-2.62498970,0.10,0.06,Counted,"Manual count",185,169,8615,207,1580,70,11,31,3,22,16,152,10724
36409,2018,1,"South West",144,"Bristol, City of",A4044,Major,A420,A4032,359459,173341,51.45758600,-2.58489120,0.80,0.50,Estimated,"Estimated using previous year's AADF on this link",2427,685,32032,923,5820,622,98,99,36,174,171,1200,40660
28420,2018,1,"South West",144,"Bristol, City of",A432,Major,B4469,A4174,364000,176170,51.48332900,-2.51982550,2.60,1.62,Estimated,"Estimated using previous year's AADF on this link",547,125,8361,114,1257,110,26,3,3,9,10,160,10018
74782,2018,1,"South West",144,"Bristol, City of",A4,Major,"A4 under Bristol Gate",A3029,357000,172370,51.44867300,-2.62016270,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",232,95,5720,75,1257,98,41,32,9,4,4,187,7335
36410,2018,1,"South West",144,"Bristol, City of",A38,Major,"Kings Head Lane roundabout","Bedminster Rd",357200,170000,51.42738000,-2.61699760,1.70,1.06,Estimated,"Estimated using previous year's AADF on this link",167,135,9377,180,1564,126,34,44,9,57,62,332,11587
36132,2018,1,"South West",144,"Bristol, City of",A4,Major,"Emery Rd","LA Boundary",362950,170070,51.42841713,-2.53430478,1.10,0.68,Estimated,"Estimated using previous year's AADF on this link",412,877,28757,339,5677,640,102,84,34,112,59,1031,36680
89002,2018,1,"South West",144,"Bristol, City of",A4,Major,A4162,A403,352192,177789,51.49700800,-2.69008000,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",48,272,15070,202,4206,634,267,350,62,168,167,1648,21398
56400,2018,1,"South West",144,"Bristol, City of",A4044,Major,A4032,A38,359200,173540,51.45935600,-2.58864180,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",1179,564,32311,1264,4728,351,55,69,18,24,25,542,39409
73300,2019,1,"South West",144,"Bristol, City of",A369,Major,"A370/A3029 midpoint","LA Boundary",356490,172000,51.44530800,-2.62745560,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",122,122,9353,92,1717,39,6,0,2,1,0,48,11332
804635,2018,1,"South West",144,"Bristol, City of",U,Minor,,,357987,179512,51.51296100,-2.60681260,,,Counted,"Manual count",21,0,153,0,35,2,0,0,0,0,0,2,190
801248,2018,1,"South West",144,"Bristol, City of",C,Minor,,,360856,170766,51.43453200,-2.56449980,,,Counted,"Manual count",68,79,7514,28,1644,62,4,0,0,0,0,66,9331
803166,2018,1,"South West",144,"Bristol, City of",U,Minor,,,354887,178808,51.50639200,-2.65139120,,,Counted,"Manual count",61,6,394,0,53,8,0,0,0,0,0,8,460
803169,2018,1,"South West",144,"Bristol, City of",U,Minor,,,356827,173535,51.45913500,-2.62279460,,,Counted,"Manual count",91,5,440,0,96,4,1,0,0,0,0,5,547
803170,2018,1,"South West",144,"Bristol, City of",U,Minor,,,357041,174122,51.46442900,-2.61978620,,,Counted,"Manual count",31,5,630,1,50,3,1,0,0,0,0,4,689
73297,2019,1,"South West",144,"Bristol, City of",M49,Major,M5,"LA Boundary",354168,179788,51.51514500,-2.66187770,2.40,1.49,Estimated,"Estimated using previous year's AADF on this link",0,90,16581,100,3186,553,130,89,157,912,662,2502,22461
803171,2018,1,"South West",144,"Bristol, City of",U,Minor,,,357523,175371,51.47569500,-2.61299870,,,Counted,"Manual count",24,1,307,0,44,3,0,0,0,0,0,3,354
803172,2018,1,"South West",144,"Bristol, City of",U,Minor,,,357731,167993,51.40937500,-2.60912050,,,Counted,"Manual count",58,16,1194,4,214,11,0,0,0,0,0,11,1438
803175,2018,1,"South West",144,"Bristol, City of",U,Minor,,,361001,173831,51.46210000,-2.56275280,,,Counted,"Manual count",364,26,1326,0,235,9,0,0,0,0,0,9,1597
805630,2018,1,"South West",144,"Bristol, City of",B4057,Minor,,,355300,178438,51.50309800,-2.64539400,,,Counted,"Manual count",97,81,5007,0,773,51,8,4,1,3,0,67,5929
803176,2018,1,"South West",144,"Bristol, City of",U,Minor,,,352044,177944,51.49838900,-2.69223300,,,Counted,"Manual count",99,31,2172,114,554,43,1,0,2,1,1,47,2918
800198,2018,1,"South West",144,"Bristol, City of",B3120,Minor,,,357516,171578,51.44159100,-2.61264260,,,Counted,"Manual count",724,168,6782,95,1252,109,13,7,2,1,3,135,8433
803165,2018,1,"South West",144,"Bristol, City of",U,Minor,,,357893,171599,51.44180900,-2.60722120,,,Counted,"Manual count",131,9,576,0,132,14,1,0,0,0,0,15,732
801247,2018,1,"South West",144,"Bristol, City of",C,Minor,,,356929,168026,51.40961100,-2.62065470,,,Counted,"Manual count",65,62,6164,24,1373,96,15,3,0,0,0,114,7736
803168,2018,1,"South West",144,"Bristol, City of",U,Minor,,,359539,169499,51.42304800,-2.58329950,,,Counted,"Manual count",124,80,5007,99,827,45,8,0,0,0,0,53,6066
803173,2018,1,"South West",144,"Bristol, City of",U,Minor,,,362937,175848,51.48036500,-2.53509910,,,Counted,"Manual count",311,43,5339,50,591,22,9,0,0,0,1,31,6053
803174,2018,1,"South West",144,"Bristol, City of",U,Minor,,,356434,175104,51.47321100,-2.62864480,,,Counted,"Manual count",76,8,1297,65,145,6,0,0,0,0,0,6,1521
806152,2018,1,"South West",144,"Bristol, City of",C,Minor,,,355820,179327,51.51113200,-2.63801440,,,Counted,"Manual count",157,67,3834,12,838,34,8,9,5,6,10,72,4823
800199,2018,1,"South West",144,"Bristol, City of",B4054,Minor,,,358426,175251,51.47468300,-2.59998350,,,Counted,"Manual count",490,66,5866,25,786,39,8,1,2,0,0,50,6792
820040,2020,1,"South West",144,"Bristol, City of",U,Minor,,,358775,176317,51.48429300,-2.59508350,,,Estimated,"Estimated using previous year's AADF on this link",10,1,146,0,9,1,0,0,0,0,0,1,157
809963,2020,1,"South West",144,"Bristol, City of",B3120,Minor,,,358099,171488,51.44082600,-2.60424430,,,Counted,"Manual count",811,120,5984,101,1493,72,16,0,3,0,0,91,7790
809039,2020,1,"South West",144,"Bristol, City of",U,Minor,,,355147,177238,51.49229700,-2.64744520,,,Counted,"Manual count",22,2,407,0,79,5,0,0,0,0,0,5,493
809948,2020,1,"South West",144,"Bristol, City of",U,Minor,,,357521,173926,51.46270300,-2.61285340,,,Counted,"Manual count",289,53,857,1,219,7,2,0,1,1,2,13,1142
805630,2020,1,"South West",144,"Bristol, City of",B4057,Minor,,,355300,178438,51.50309800,-2.64539400,,,Counted,"Manual count",90,71,4769,0,820,21,3,28,0,0,0,52,5712
803175,2020,1,"South West",144,"Bristol, City of",U,Minor,,,361001,173831,51.46210000,-2.56275280,,,Counted,"Manual count",606,58,1165,10,253,3,1,0,0,0,0,4,1490
808430,2020,1,"South West",144,"Bristol, City of",U,Minor,,,362497,174123,51.46482700,-2.54125110,,,Counted,"Manual count",69,39,2669,5,553,12,3,0,0,1,0,16,3282
800198,2020,1,"South West",144,"Bristol, City of",B3120,Minor,,,357516,171578,51.44159100,-2.61264260,,,Counted,"Manual count",1152,149,5783,103,1404,47,16,1,1,2,1,67,7507
810707,2020,1,"South West",144,"Bristol, City of",U,Minor,,,354666,178664,51.50508000,-2.65455660,,,Counted,"Manual count",150,52,4352,143,794,20,10,21,0,3,2,55,5397
803172,2020,1,"South West",144,"Bristol, City of",U,Minor,,,357731,167993,51.40937500,-2.60912050,,,Estimated,"Estimated using previous year's AADF on this link",91,11,942,3,184,9,0,0,0,0,0,9,1148
803173,2020,1,"South West",144,"Bristol, City of",U,Minor,,,362937,175848,51.48036500,-2.53509910,,,Counted,"Manual count",198,53,4627,32,749,20,11,0,0,0,0,31,5493
808940,2020,1,"South West",144,"Bristol, City of",B4469,Minor,,,361770,174889,51.47166500,-2.55179900,,,Counted,"Manual count",468,196,10119,3,2521,140,32,13,10,21,21,237,13076
803165,2020,1,"South West",144,"Bristol, City of",U,Minor,,,357893,171599,51.44180900,-2.60722120,,,Counted,"Manual count",191,4,460,0,138,2,0,0,1,0,0,3,604
803174,2020,1,"South West",144,"Bristol, City of",U,Minor,,,356434,175104,51.47321100,-2.62864480,,,Counted,"Manual count",166,3,920,67,123,7,1,0,0,0,0,8,1122
808322,2020,1,"South West",144,"Bristol, City of",U,Minor,,,359000,176851,51.48911100,-2.59190560,,,Counted,"Manual count",33,1,549,0,115,0,0,0,0,0,0,0,666
803176,2020,1,"South West",144,"Bristol, City of",U,Minor,,,352044,177944,51.49838900,-2.69223300,,,Counted,"Manual count",147,27,1809,91,581,9,1,2,3,1,1,17,2525
