,Fuel Type,Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km]
5189,Diesel,0.0,0.0,0.0,0.0
5190,Diesel,0.0,0.0,0.0,0.0
5191,Petrol,0.0,0.0,0.0,35.83783783783784
5192,Petrol,0.0,0.0,0.0,35.83783783783784
5193,Petrol,0.0,0.0,0.0,35.83783783783784
5194,Diesel,0.0,0.0,0.0,0.0
5195,Diesel,0.0,0.0,0.0,0.0
5196,Diesel,0.0,0.0,0.0,0.0
5197,Diesel,0.0,0.0,0.0,0.0
5198,Petrol,0.0,0.0,0.0,35.83783783783784
5199,Petrol,0.0,0.0,0.0,35.83783783783784
5200,Petrol,0.0,0.0,0.0,35.83783783783784
5201,Diesel,0.0,0.0,0.0,0.0
5202,Diesel,0.0,0.0,0.0,0.0
5203,Diesel,0.0,0.0,0.0,0.0
5204,Petrol,0.0,0.0,0.0,35.83783783783784
5205,Petrol,0.0,0.0,0.0,35.83783783783784
5206,Petrol,0.0,0.0,0.0,35.83783783783784
5207,Diesel,0.0,0.0,0.0,0.0
5208,Diesel,0.0,0.0,0.0,0.0
5209,Diesel,0.0,0.0,0.0,0.0
5210,Petrol,0.0,0.0,0.0,35.83783783783784
5211,Petrol,0.0,0.0,0.0,35.83783783783784
5212,Petrol,0.0,0.0,0.0,35.83783783783784
5213,Diesel,0.0,0.0,0.0,0.0
5214,Diesel,0.0,0.0,0.0,0.0
5215,Diesel,0.0,0.0,0.0,0.0
5216,Diesel,0.0,0.0,0.0,0.0
5217,Petrol,0.0,0.0,0.0,35.83783783783784
5218,Petrol,0.0,0.0,0.0,35.83783783783784
5219,Petrol,0.0,0.0,0.0,35.83783783783784
5220,Diesel,0.0,0.0,0.0,0.0
5221,Diesel,0.0,0.0,0.0,0.0
5222,Diesel,0.0,0.0,0.0,0.0
5223,Diesel,0.0,0.0,0.0,0.0
5224,Petrol,0.0,0.0,0.0,35.83783783783784
5225,Petrol,0.0,0.0,0.0,35.83783783783784
5226,Petrol,0.0,0.0,0.0,35.83783783783784
5227,Petrol,0.0,0.0,0.0,35.83783783783784
